sitename,reasonable_start,reasonable_end,metric_value,verdict,distance
58 pics,9899.9,16486.809999999998,9908.490999937057,Reasonable,6578.31900006294
Amazon product listing,5124.9,20018.996,6986.191999912262,Reasonable,13032.804000087737
Booking.com,4769.9,6335.1230000000005,6740.50200009346,Too late,-405.3790000934596
Crunchbase,14803.9,22396.005999999998,14704.540999889374,Too early,7691.465000110624
Dawn.com,1333.0510000000002,10694.566,1683.5739998817444,Reasonable,9010.992000118256
Doubleclick landing page,6449.9,13758.079,6224.5199999809265,Too early,7533.559000019073
Ebay,3399.9,10072.868,5719.805000066757,Reasonable,4353.062999933243
EBS,8364.9,19809.141,15139.355000019073,Reasonable,4669.785999980926
Flipkart,6899.9,7513.425,4251.625,Too early,3261.8
France TV Info,4286.9,7536.139,4927.695999860764,Reasonable,2608.4430001392366
Housing ,2529.9,4088.118,2689.9749999046326,Reasonable,1398.1430000953674
Inbox (logged in),3229.9,18400.777,4714.075000047684,Reasonable,13686.701999952315
Live nation,4599.9,11043.125,5933.3079998493195,Reasonable,5109.8170001506805
Nasa,10344.9,17477.733,10108.647000074387,Too early,7369.085999925614
NPR,5347.9,17431.59,5544.7300000190735,Reasonable,11886.859999980927
TED,6299.9,11588.623,3490.5729999542236,Too early,8098.050000045776
TheStar,24037.9,36777.922,28415.489000082016,Reasonable,8362.432999917983
Travis branch page,11949.9,12464.291000000001,8462.675000190735,Too early,4001.615999809266
Twitter (Logged in),4139.9,6395.576,4139.356999874115,Too early,2256.219000125885
Vevo,5369.9,19324.086,19798.982000112534,Too late,-474.89600011253424
Vine,9359.9,10565.877,8907.008999824524,Too early,1658.8680001754765
Weather,7364.9,12869.986,8452.237999916077,Reasonable,4417.748000083924
Wikipedia article,2341.9,4481.531,1845.898999929428,Too early,2635.632000070572
Yahoo,5137.9,17237.463,13392.546000003815,Reasonable,3844.916999996185
Yahoo news post,2764.9,7470.6410000000005,4221.460000038147,Reasonable,3249.1809999618536
