sitename,reasonable_start,reasonable_end,metric_value,verdict,distance
58 pics,9899.9,16486.809999999998,9908.82499995613,Reasonable,6577.985000043867
Amazon product listing,5124.9,20018.996,6651.880999803543,Reasonable,13367.115000196456
Booking.com,4769.9,6335.1230000000005,6335.02299996376,Reasonable,0.10000003624008968
Crunchbase,14803.9,22396.005999999998,21096.976999969484,Reasonable,1299.029000030514
Dawn.com,1333.0510000000002,10694.566,8989.189000051498,Reasonable,1705.376999948503
Doubleclick landing page,6449.9,13758.079,10129.146999998093,Reasonable,3628.932000001907
Ebay,3399.9,10072.868,8139.355000055313,Reasonable,1933.5129999446872
EBS,8364.9,19809.141,14974.790999889374,Reasonable,4834.350000110626
Flipkart,6899.9,7513.425,7513.325000104905,Reasonable,0.09999989509560692
France TV Info,4286.9,7536.139,7536.039000009537,Reasonable,0.09999999046340236
Housing ,2529.9,4088.118,4088.017999952316,Reasonable,0.10000004768380677
Inbox (logged in),3229.9,18400.777,10494.933000032424,Reasonable,7905.843999967574
Live nation,4599.9,11043.125,11043.024999860763,Reasonable,0.10000013923672668
Nasa,10344.9,17477.733,10347.363000091553,Reasonable,7130.369999908447
NPR,5347.9,17431.59,10877.751999938964,Reasonable,6553.838000061036
TED,6299.9,11588.623,11588.52300000763,Reasonable,0.09999999236970325
TheStar,24037.9,36777.922,28161.176000061034,Reasonable,8616.745999938965
Travis branch page,11949.9,12464.291000000001,12464.191000099183,Reasonable,0.09999990081814758
Twitter (Logged in),4139.9,6395.576,6395.475999805451,Reasonable,0.10000019454946596
Vevo,5369.9,19324.086,18814.639000177383,Reasonable,509.4469998226159
Vine,9359.9,10565.877,10565.7769999485,Reasonable,0.10000005149959179
Weather,7364.9,12869.986,12869.886000123977,Reasonable,0.09999987602350302
Wikipedia article,2341.9,4481.531,4481.430999853134,Reasonable,0.10000014686556824
Yahoo,5137.9,17237.463,13163.892999887466,Reasonable,4073.5700001125333
Yahoo news post,2764.9,7470.6410000000005,7470.541000009537,Reasonable,0.09999999046340236
