sitename,reasonable_start,reasonable_end,metric_value,verdict,distance
58 pics,9899.9,16486.809999999998,9956.77899980545,Reasonable,6530.031000194547
Amazon product listing,5124.9,20018.996,6701.880999803543,Reasonable,13317.115000196456
Booking.com,4769.9,6335.1230000000005,6382.041000127792,Too late,-46.918000127791856
Crunchbase,14803.9,22396.005999999998,11150.690999984741,Too early,11245.315000015256
Dawn.com,1333.0510000000002,10694.566,1381.0449998378754,Reasonable,9313.521000162125
Doubleclick landing page,6449.9,13758.079,6424.40499997139,Too early,7333.67400002861
Ebay,3399.9,10072.868,5060.193000078201,Reasonable,5012.674999921799
EBS,8364.9,19809.141,15024.790999889374,Reasonable,4784.350000110626
Flipkart,6899.9,7513.425,4274.768000125885,Too early,3238.656999874115
France TV Info,4286.9,7536.139,4331.295000076294,Reasonable,3204.843999923706
Housing ,2529.9,4088.118,2511.0920000076294,Too early,1577.0259999923705
Inbox (logged in),3229.9,18400.777,4229.933000087738,Reasonable,14170.84399991226
Live nation,4599.9,11043.125,4448.648999929428,Too early,6594.476000070572
Nasa,10344.9,17477.733,9184.114000082016,Too early,8293.618999917984
NPR,5347.9,17431.59,5359.612999916077,Reasonable,12071.977000083923
TED,6299.9,11588.623,3528.053999900818,Too early,8060.569000099182
TheStar,24037.9,36777.922,28209.207999944687,Reasonable,8568.714000055312
Travis branch page,11949.9,12464.291000000001,8910.927000045776,Too early,3553.3639999542247
Twitter (Logged in),4139.9,6395.576,2780.550999879837,Too early,3615.025000120163
Vevo,5369.9,19324.086,19264.639000177383,Reasonable,59.44699982261591
Vine,9359.9,10565.877,8729.069999933243,Too early,1836.8070000667576
Weather,7364.9,12869.986,6220.56200003624,Too early,6649.423999963761
Wikipedia article,2341.9,4481.531,1871.332999944687,Too early,2610.198000055313
Yahoo,5137.9,17237.463,13213.892999887466,Reasonable,4023.5700001125333
Yahoo news post,2764.9,7470.6410000000005,4115.742000102997,Reasonable,3354.8989998970037
