sitename|url|firstInteractive-FMP|firstInteractive-FMP-1s|firstInteractive-FCP|firstInteractive-FMP-ReverseSearch|firstInteractive-FCP-ReverseSearch|firstInteractive-FMP-Network|firstInteractive-FMP-ReverseSearchFromNetworkFirstInteractive|firstInteractiveForwardSlideInHighEQTWindow|firstInteractiveNetRevLonelyTask|firstInteractiveNetRevLonelyWindow|firstInteractive-FMP-Proportional|firstInteractive-MaxFmpDcl|firstInteractive-Lighthouse|firstInteractive-EventListeners|firstInteractive-FMP-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-FCP-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-DCL-Proportional-w15-3000-lonely-ws-250-padding-1000psb-5000|firstInteractive-FMP-ForwardLonely|firstInteractive-FMP-ws-1000|firstInteractive-FMP-ws-1000-DCL|firstInteractive-FMP-ws-2000|firstInteractive-FMP-ws-2000-DCL|firstInteractive-FMP-ws-3000|firstInteractive-FMP-ws-3000-DCL|firstInteractive-FMP-ws-4000|firstInteractive-FMP-ws-4000-DCL|firstInteractive-FMP-ws-5000|firstInteractive-FMP-ws-5000-DCL|firstInteractive-FMP-Proportional-w15-1250|firstInteractive-FMP-Proportional-w15-1500|firstInteractive-FMP-Proportional-w15-1750|firstInteractive-FMP-Proportional-w15-2000|firstInteractive-FMP-Proportional-w15-2250|firstInteractive-FMP-Proportional-w15-2500|firstInteractive-FMP-Proportional-w15-2750|firstInteractive-FMP-Proportional-w15-3000
58 pics|http://www.58pic.com/|9908.82499995613|Error: no histogram found|Error: no histogram found|16486.709999818802|Error: no histogram found|27494.12499985123|16486.709999818802|Error: no histogram found|9908.82499995613|9908.82499995613|Error: no histogram found|9908.82499995613|9956.77899980545|9908.490999937057|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613|9908.82499995613
Amazon product listing|https://www.amazon.com/Google-Wifi-system-single-point/dp/B01MDJ0HVG|2969.3650000095367|Error: no histogram found|Error: no histogram found|20018.89599996376|Error: no histogram found|24330.76799996948|20018.89599996376|Error: no histogram found|20018.89599996376|20018.89599996376|Error: no histogram found|6651.880999803543|6701.880999803543|6986.191999912262|6651.880999803543|6651.880999803543|14278.38199982071|6651.880999803543|2969.3650000095367|6651.880999803543|2969.3650000095367|6651.880999803543|2969.3650000095367|6651.880999803543|2969.3650000095367|6651.880999803543|2969.3650000095367|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543|6651.880999803543
Booking.com|http://www.booking.com/|6335.02299996376|Error: no histogram found|Error: no histogram found|6335.02299996376|Error: no histogram found|10489.819000038147|6335.02299996376|Error: no histogram found|6332.041000127792|6335.02299996376|Error: no histogram found|6335.02299996376|6382.041000127792|6740.50200009346|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|4150.438999971389|6332.041000127792|4150.438999971389|6332.041000127792|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376|6335.02299996376
Crunchbase|https://www.crunchbase.com/#/home/index|22395.905999944687|Error: no histogram found|Error: no histogram found|22395.905999944687|Error: no histogram found|23002.930999952318|22395.905999944687|Error: no histogram found|21096.976999969484|21096.976999969484|Error: no histogram found|22395.905999944687|11150.690999984741|14704.540999889374|21096.976999969484|13713.557999921799|13713.557999921799|21096.976999969484|14804.417999982834|14804.417999982834|16686.82799982643|16686.82799982643|16686.82799982643|16686.82799982643|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687|22395.905999944687
Dawn.com|http://www.dawn.com/|10694.46599987793|Error: no histogram found|Error: no histogram found|10694.46599987793|Error: no histogram found|10694.46599987793|10694.46599987793|Error: no histogram found|8989.189000051498|8989.189000051498|Error: no histogram found|10694.46599987793|1381.0449998378754|1683.5739998817444|8989.189000051498|8989.189000051498|8989.189000051498|8989.189000051498|1333.1510000247956|1333.1510000247956|2454.081000043869|2454.081000043869|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793|10694.46599987793
Doubleclick landing page|https://www.doubleclickbygoogle.com/|13757.978999986648|Error: no histogram found|Error: no histogram found|13757.978999986648|Error: no histogram found|36028.99499999428|13757.978999986648|Error: no histogram found|10129.146999998093|10129.146999998093|Error: no histogram found|13757.978999986648|6424.40499997139|6224.5199999809265|10129.146999998093|10129.146999998093|10129.146999998093|10129.146999998093|7201.801000047683|7201.801000047683|10129.146999998093|10129.146999998093|10129.146999998093|10129.146999998093|13757.978999986648|13757.978999986648|13757.978999986648|13757.978999986648|10129.146999998093|10129.146999998093|13757.978999986648|13757.978999986648|13757.978999986648|13757.978999986648|13757.978999986648|13757.978999986648
Ebay|http://m.ebay.com/?_mwBanner=1|10072.768000007629|Error: no histogram found|Error: no histogram found|10072.768000007629|Error: no histogram found|10211.27000004196|10072.768000007629|Error: no histogram found|5010.193000078201|8139.355000055313|Error: no histogram found|10072.768000007629|5060.193000078201|5719.805000066757|8139.355000055313|8139.355000055313|10072.768000007629|8139.355000055313|3203.1560000190734|5010.193000078201|5022.392000053405|5022.392000053405|5022.392000053405|5022.392000053405|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629|10072.768000007629
EBS|https://www.ebs.in/IPS/|19809.040999876022|Error: no histogram found|Error: no histogram found|19809.040999876022|Error: no histogram found|19809.040999876022|19809.040999876022|Error: no histogram found|14977.219999839783|14974.790999889374|Error: no histogram found|19809.040999876022|15024.790999889374|15139.355000019073|14974.790999889374|14974.790999889374|19809.040999876022|14974.790999889374|8030.940999984741|14974.790999889374|8030.940999984741|14974.790999889374|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783|19809.040999876022|19809.040999876022|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783|14977.219999839783
Flipkart|https://www.flipkart.com/big-wing-casuals/p/itmemeageyfn6m9z|7513.325000104905|Error: no histogram found|Error: no histogram found|7513.325000104905|Error: no histogram found|10385.776000026703|7513.325000104905|Error: no histogram found|7513.325000104905|7513.325000104905|Error: no histogram found|7513.325000104905|4274.768000125885|4251.625|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905|7513.325000104905
France TV Info|http://mobile.francetvinfo.fr/#xtref=acc_dir|7536.039000009537|Error: no histogram found|Error: no histogram found|7536.039000009537|Error: no histogram found|7937.427000011444|7536.039000009537|Error: no histogram found|7536.039000009537|7536.039000009537|Error: no histogram found|7536.039000009537|4331.295000076294|4927.695999860764|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|2898.4989998683927|4281.295000076294|2898.4989998683927|4281.295000076294|2898.4989998683927|4281.295000076294|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537|7536.039000009537
